Movie,Year,Review_link,full_link
100) Stand By Me,1986,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/rob-reiner/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/rob-reiner/
99) Raging Bull,1980,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/martin-scorsese/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/martin-scorsese/
98) Amelie,2001,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/jean-pierre-jeunet/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/jean-pierre-jeunet/
97) Titanic,1997,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-cameron/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-cameron/
96) Good Will Hunting,1997,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/matt-damon/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/matt-damon/
95) Arrival,2016,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/denis-villeneuve/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/denis-villeneuve/
94) Lost In Translation,2003,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sofia-coppola/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sofia-coppola/
93) The Princess Bride,1987,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/rob-reiner/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/rob-reiner/
92) The Terminator,1984,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-cameron/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-cameron/
91) The Prestige,2006,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/christopher-nolan/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/christopher-nolan/
90) No Country For Old Men,2007,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/cormac-mccarthy/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/cormac-mccarthy/
89) Shaun Of The Dead,2004,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/edgar-wright/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/edgar-wright/
88) The Exorcist,1973,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/william-friedkin/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/william-friedkin/
87) Predator,1987,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/predator-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/predator-review/
86) Indiana Jones And The Last Crusade,1989,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/harrison-ford/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/harrison-ford/
85) L̩on,1994,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/luc-besson/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/luc-besson/
84) Rocky,1976,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sylvester-stallone/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sylvester-stallone/
83) True Romance,1993,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/tony-scott/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/tony-scott/
82) Some Like It Hot,1959,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/billy-wilder/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/billy-wilder/
81) The Social Network,2010,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/jesse-eisenberg/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/jesse-eisenberg/
15) Spirited Away,,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/moana-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/moana-review/
79) Captain America: Civil War,2016,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/tom-holland/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/tom-holland/
78) Oldboy,2003,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/chan-wook-park/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/chan-wook-park/
77) Toy Story,1995,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/toy-story-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/toy-story-review/
76) A Clockwork Orange,1971,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/stanley-kubrick/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/stanley-kubrick/
75) Fargo,1996,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/joel-coen/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/joel-coen/
74) Mulholland Dr.,2001,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/david-lynch/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/david-lynch/
73) Seven Samurai,1954,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/magnificent-seven-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/magnificent-seven-review/
72) Rear Window,1954,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-stewart/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-stewart/
71) Hot Fuzz,2007,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/bad-boys-2-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/bad-boys-2-review/
70) The Lion King,1994,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/toy-story-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/toy-story-review/
