Movie,Year,Review_link,full_link
100) Stand By Me,<strong>1986</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/rob-reiner/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/rob-reiner/
99) Raging Bull,<strong>1980</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/martin-scorsese/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/martin-scorsese/
98) Amelie,<strong>2001</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/jean-pierre-jeunet/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/jean-pierre-jeunet/
97) Titanic,<strong>1997</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-cameron/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-cameron/
96) Good Will Hunting,<strong>1997</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/matt-damon/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/matt-damon/
95) Arrival,<strong>2016</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/denis-villeneuve/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/denis-villeneuve/
94) Lost In Translation,<strong>2003</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sofia-coppola/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sofia-coppola/
93) The Princess Bride,<strong>1987</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/rob-reiner/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/rob-reiner/
92) The Terminator,<strong>1984</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-cameron/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/james-cameron/
91) The Prestige,<strong>2006</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/christopher-nolan/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/christopher-nolan/
90) No Country For Old Men,<strong>2007</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/cormac-mccarthy/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/cormac-mccarthy/
89) Shaun Of The Dead,<strong>2004</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/edgar-wright/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/edgar-wright/
88) The Exorcist,<strong>1973</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/william-friedkin/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/william-friedkin/
87) Predator,<strong>1987</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/predator-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/predator-review/
86) Indiana Jones And The Last Crusade,<strong>1989</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/harrison-ford/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/harrison-ford/
85) L̩on,<strong>1994</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/luc-besson/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/luc-besson/
84) Rocky,<strong>1976</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sylvester-stallone/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/sylvester-stallone/
83) True Romance,<strong>1993</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/tony-scott/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/tony-scott/
82) Some Like It Hot,<strong>1959</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/billy-wilder/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/billy-wilder/
81) The Social Network,<strong>2010</strong>,https://web.archive.org/web/20200518073855/https://www.empireonline.com/people/jesse-eisenberg/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/people/jesse-eisenberg/
15) Spirited Away,,https://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/moana-review/,https://www.empireonline.comhttps://web.archive.org/web/20200518073855/https://www.empireonline.com/movies/reviews/moana-review/
