name,price,stock,color,size,material,link
Twirl Skirt in Midnight Navy,IDR 499.000,13 IN STOCK,Midnight Navy,"XS,S,M,L,Midnight Navy",no_material,https://loveandflair.com//products/twirl-skirt-in-midnight-navy
Match Point Skirt in White,IDR 549.000,3 IN STOCK,White,"XS,S,M,White",no_material,https://loveandflair.com//products/match-point-skirt-in-white
Muse Rib Bra Top in Burgundy Wine,IDR 499.000,4 IN STOCK,Burgundy Wine,"XS,S,M,L,Burgundy Wine",no_material,https://loveandflair.com//products/muse-rib-bra-top-in-burgundy-wine
Pavilion Polo Top in Baby Blue (LAST PIECES),IDR 399.000,5 IN STOCK,Baby Blue,"XS,S,M,L,Baby Blue",no_material,https://loveandflair.com//products/pavilion-polo-top-in-baby-blue
Solene Baby Tee in Marine,IDR 380.000,22 IN STOCK,Blue,"Blue,XS,S,M,L",no_material,https://loveandflair.com//products/solene-baby-tee-in-marine
Valley Wrap Top in White,IDR 429.000,33 IN STOCK,White,"White,S-M,L-XL",no_material,https://loveandflair.com//products/valley-wrap-top-in-white
Vault Long Sleeve Top in Black,IDR 249.000,1 IN STOCK,Black,"XS,S,M,Black",no_material,https://loveandflair.com//products/vault-long-sleeve-top-in-black
Tour Polo Top in Black,IDR 499.000,4 IN STOCK,Black,"Black,XS,S,M,L",no_material,https://loveandflair.com//products/tour-polo-top-in-black
Dominance Short in Espresso,IDR 399.000,3 IN STOCK,Espresso,"Espresso,XS,S,M,L",no_material,https://loveandflair.com//products/dominance-short-in-espresso
Lux High Impact Leggings in White,IDR 509.000,10 IN STOCK,White,"XS,S,M,L,White",no_material,https://loveandflair.com//products/lux-high-impact-leggings-in-white
Awaken Leggings in Black,IDR 479.000,14 IN STOCK,Black,"XS,S,M,L,Black",no_material,https://loveandflair.com//products/awaken-leggings-in-black
Lune Flare Pants in Moss,IDR 449.650,1 IN STOCK,Green,"Green,XS,S,M,L",no_material,https://loveandflair.com//products/lune-flare-pants-in-moss
Dive Bra Top In Black,IDR 480.000,10 IN STOCK,Black,"Black,XS,S,M",no_material,https://loveandflair.com//products/dive-bra-top-in-black
Sideline Pleated Skirt in Baby Blue,IDR 399.000,15 IN STOCK,Baby Blue,"XS,S,M,L,Baby Blue",no_material,https://loveandflair.com//products/sideline-pleated-skirt-in-baby-blue
Raise Jacket in Black (LAST PIECE),IDR 529.000,1 IN STOCK,Black,"XS,S,M,L,Black",no_material,https://loveandflair.com//products/raise-jacket-in-black
Box-Pleat Tennis Skirt in Pacific Blue,IDR 399.000,23 IN STOCK,Pacific Blue,"XS,S,M,L,Pacific Blue",no_material,https://loveandflair.com//products/box-pleat-tennis-skirt-in-pacific-blue
Hustle Flare Pants in Espresso,IDR 599.000,12 IN STOCK,Espresso,"Espresso,S,M,L,XL",no_material,https://loveandflair.com//products/hustle-flare-pants-in-espresso
Intrigue Contrast Bra Top in Black,IDR 499.000,4 IN STOCK,Black,"Black,XS,S,M,L",no_material,https://loveandflair.com//products/intrigue-contrast-bra-top-in-black
Mantra Bra in Midnight Navy,IDR 249.000,3 IN STOCK,Midnight Navy,"XS,S,M,L,Midnight Navy",no_material,https://loveandflair.com//products/mantra-bra-in-midnight-navy
Scallop V-shape Panty In Cream,IDR 90.300,7 IN STOCK,Cream,"S,M,L,XL,Cream",no_material,https://loveandflair.com//products/scallop-v-shape-panty-in-cream
Solid Bra Top in Marine,IDR 499.000,4 IN STOCK,Blue,"Blue,XS,S,M,L",no_material,https://loveandflair.com//products/solid-bra-top-in-marine
Awaken Leggings In Graphite Grey,IDR 479.000,6 IN STOCK,Graphite Grey,"XS,S,M,L,Graphite Grey",no_material,https://loveandflair.com//products/awaken-leggings-in-graphite-grey
Training Cargo Pant in Eggshell,IDR 699.000,12 IN STOCK,Eggshell,"XS,S,M,L,Eggshell",no_material,https://loveandflair.com//products/training-cargo-pant-in-eggshell
Victory Jacket in Sky Blue,IDR 599.000,1 IN STOCK,Sky Blue,"XS,S,M,L,Sky Blue",no_material,https://loveandflair.com//products/victory-jacket-in-sky-blue
Rhythm Bra Top in Marine,IDR 399.000,13 IN STOCK,Blue,"Blue,XS,S,M,L",no_material,https://loveandflair.com//products/rhythm-bra-top-in-marine
Twist-Back Long Sleeve Bra Top in Eggshell,IDR 415.650,5 IN STOCK,Eggshell,"Eggshell,S,M,L,XL",no_material,https://loveandflair.com//products/twist-back-long-sleeve-bra-top-in-eggshell
Sideline Pleated Skirt in Rosé,IDR 399.000,21 IN STOCK,Rose,"XS,S,M,L,Rose",no_material,https://loveandflair.com//products/sideline-pleated-skirt-in-rose
Radiant Bra Top in Black,IDR 499.000,13 IN STOCK,Black,"Black,XS,S,M,L",no_material,https://loveandflair.com//products/radiant-bra-top-in-black
Hustle Flare Pants in Steel Blue,IDR 599.000,1 IN STOCK,Steel Blue,"S,M,L,XL,Steel Blue",no_material,https://loveandflair.com//products/hustle-flare-pants-in-steel-blue
Awaken Leggings in Midnight Navy,IDR 479.000,16 IN STOCK,Midnight Navy,"XS,S,M,L,Midnight Navy",no_material,https://loveandflair.com//products/awaken-leggings-in-midnight-navy
Raglan Jacket in Raisin,IDR 649.000,18 IN STOCK,Brown,"XS,S,M,L,Brown",no_material,https://loveandflair.com//products/raglan-jacket-in-bubblegum-copy
Crossover Panty in Light Pink,IDR 99.000,9 IN STOCK,Light Pink,"M,L,XL,XXL,Light Pink",no_material,https://loveandflair.com//products/crossover-panty-in-light-pink
Good Grip Gloves in Black,IDR 149.000,15 IN STOCK,Black,"OS,Black",no_material,https://loveandflair.com//products/good-grip-gloves-in-black
Lightweight Cropped Jacket in Fog Grey (1XL LEFT),IDR 389.350,1 IN STOCK,Grey,"Grey,S,M,L,XL",no_material,https://loveandflair.com//products/lightweight-cropped-jacket-in-fog-grey
