Title,Artist,Link
Go Away,77,https://www.billboard.comhttps://www.billboard.com/artist/weezer/
Rethink Some Things,78,https://www.billboard.comhttps://www.billboard.com/artist/luke-combs/
Chanel,79,https://www.billboard.comhttps://www.billboard.com/artist/tyla/
I Gotta Quit,80,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-25/
Mrs. Trendsetter,81,https://www.billboard.comhttps://www.billboard.com/artist/lil-baby/
Mr. Know It All,82,https://www.billboard.comhttps://www.billboard.com/artist/teddy-swims/
It Wasn't God Who Made Honky Tonk Angels,83,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-25/
Ain't A Bad Life,84,https://www.billboard.comhttps://www.billboard.com/artist/thomas-rhett/
Hate How You Look,85,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-18/
All The Love,86,https://www.billboard.comhttps://www.billboard.com/artist/andre-troutman/
Dano,87,https://www.billboard.comhttps://www.billboard.com/artist/peso-pluma/
2.0,88,https://www.billboard.comhttps://www.billboard.com/artist/bts/
Ever Since U Left Me,89,https://www.billboard.comhttps://www.billboard.com/artist/french-montana/
Hooligan,90,https://www.billboard.comhttps://www.billboard.com/artist/bts/
The Visitor,91,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-03-28/
Rocky Mountain Low,92,https://www.billboard.comhttps://www.billboard.com/artist/koe-wetzel/
Jane!,93,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-18/
Aperture,94,https://www.billboard.comhttps://www.billboard.com/artist/harry-styles/
Who Knows,95,https://www.billboard.comhttps://www.billboard.com/artist/daniel-caesar/
Don't Tell On Me,96,https://www.billboard.comhttps://www.billboard.com/artist/jason-aldean/
Self Aware,97,https://www.billboard.comhttps://www.billboard.com/charts/hot-100/2026-04-18/
Zoo,98,https://www.billboard.comhttps://www.billboard.com/artist/shakira/
Plastic Cigarette,99,https://www.billboard.comhttps://www.billboard.com/artist/zach-bryan/
Woman,100,https://www.billboard.comhttps://www.billboard.com/artist/kane-brown/
